,Polarity_median,Polarity_mean,Polarity_mode,Polarity_stdev,PR_nb_comments,PR_state,lines_added,lines_removed,modified_files,modified_classes,class_loc,class_cboModified,class_wmc,class_lcom*,total_methods_qtt,method_loc,method_cboModified,method_wmc,parameters_qtt
210,1.00,0.75,1,0.43,4,-1,143,7,3,3,25.00,0.00,0.00,0.00,0.00,9.50,1.00,1.00,0.00
211,0.50,0.50,1,0.50,2,-1,5,5,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,0.00,0.06,0,0.40,28,-1,1353,2,10,7,73.00,11.00,7.00,0.00,6.00,4.00,0.00,1.00,0.00
213,0.00,0.00,0,0.00,6,-1,353,12,14,7,2.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00
214,0.00,0.25,0,0.43,4,-1,267,0,7,3,24.00,18.50,3.00,0.25,3.00,3.00,0.00,1.00,0.00
215,0.00,0.11,0,0.57,9,-1,15,0,2,2,4.00,0.00,1.00,0.00,1.00,0.50,0.00,0.00,0.00
216,0.00,0.17,0,0.69,2,-1,26,30,11,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217,0.00,0.00,0,0.00,1,-1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
218,0.00,0.43,0,0.49,7,-1,2,1,2,2,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00
219,0.00,0.43,0,0.49,7,-1,203,0,7,3,8.00,4.00,1.00,0.00,1.00,5.00,0.00,1.00,0.50
220,0.00,-0.20,0,0.40,5,-1,1,7,1,1,-5.00,0.00,-2.00,0.00,0.00,,,,
221,0.00,0.17,0,0.37,9,-1,1432,438,15,13,30.00,6.50,4.50,0.18,2.50,6.00,1.00,1.00,1.00
222,0.00,0.25,0,0.43,4,-1,25,0,4,2,3.00,0.50,1.00,-0.00,1.00,0.00,0.00,0.00,0.00
223,0.50,0.50,0,0.50,2,-1,0,92,4,4,0.00,-1.00,0.00,0.00,0.00,,,,
224,0.00,0.00,0,0.00,1,-1,0,10,1,1,-9.00,0.00,-4.00,-0.03,-1.00,0.00,0.00,0.00,0.00
225,0.00,0.20,0,0.40,10,-1,229,42,9,8,6.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
226,0.00,0.20,0,0.40,5,-1,141,0,2,2,38.00,4.00,6.00,0.18,5.00,3.00,0.00,1.00,0.00
227,0.00,-0.20,0,0.75,5,-1,4,4,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
228,0.00,0.00,0,0.00,5,-1,1,3,1,1,0.00,0.00,0.00,0.00,0.00,,,,
229,1.00,0.83,1,0.37,3,-1,60,15,8,7,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
230,1.00,0.42,1,0.67,19,-1,1188,115,52,9,1.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
231,-1.00,-0.33,-1,0.94,3,-1,147,32,3,3,4.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
232,0.50,0.50,0,0.50,8,-1,2,2,1,1,0.00,0.00,0.00,0.00,0.00,,,,
233,0.00,0.00,0,0.00,10,-1,167,9,3,3,37.00,2.00,3.00,0.00,2.00,0.50,0.00,0.00,0.00
234,0.00,0.20,0,0.40,5,-1,17,1,2,2,4.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
235,0.00,-0.17,0,0.37,6,-1,1,2,1,1,-1.00,0.00,0.00,0.00,0.00,-0.50,0.00,0.00,0.00
236,0.00,0.00,0,0.00,8,-1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
